cik,entityName,ticker,stateOfIncorporation,sic,sicDescription,industryCategory,fiscalYear,period,Revenues,NetIncomeLoss,OperatingIncomeLoss,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,ResearchAndDevelopmentExpense,OperatingCashFlow,Goodwill,IntangibleAssetsNetExcludingGoodwill,PatentsIssued,dataCompleteness,dataFreshness,yearAvailability,file_path
1770787,"10x Genomics, Inc.",,California,3845,Electromedical & Electrotherapeutic Apparatus,Biotechnology,2025,FY,154883000,-34358000,-39328000,903393000,196498000,706895000,,64245000,34351000,4511000,15192000,,83.33333333,Recent,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001770787.json
1770787,"10x Genomics, Inc.",,"Californie, …tats-Unis",3845,Electromedical & Electrotherapeutic Apparatus,Biotechnology,2024,FY,610785000,-182627000,-194559000,918636000,208502000,710134000,344067000,264698000,6664000,4511000,15671000,,100,Recent,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001770787.json
1770787,"10x Genomics, Inc.",,California,3845,Electromedical & Electrotherapeutic Apparatus,Medical Devices,2023,FY,618727000,-255099000,-265329000,965143000,224100000,741043000,359284000,270332000,-15197000,4511000,16616000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001770787.json
1770787,"10x Genomics, Inc.",,"Californie, …tats-Unis",3845,Electromedical & Electrotherapeutic Apparatus,Biotechnology,2022,FY,516409000,-166000000,-167944000,1028980000,223237000,805743000,219746000,265667000,-33606000,4511000,22858000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001770787.json
1770787,"10x Genomics, Inc.",,Delaware,3845,Electromedical & Electrotherapeutic Apparatus,Diagnostics,2021,FY,490490000,-58223000,-52253000,1018826000,201258000,817568000,587447000,211752000,-21373000,4511000,25397000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001770787.json
1770787,"10x Genomics, Inc.",,"Delaware, …tats-Unis",3845,Electromedical & Electrotherapeutic Apparatus,Biotechnology,2020,FY,71905000,-542731000,-534142000,929341000,190269000,739072000,663603000,123375000,-217898000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001770787.json
1770787,"10x Genomics, Inc.",,"California, …tats-Unis",3845,Electromedical & Electrotherapeutic Apparatus,Medical Devices,2019,FY,245893000,-31251000,-30573000,605923000,185840000,420083000,424166000,83097000,34627000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001770787.json
1650648,"4D Molecular Therapeutics, Inc.",,…tats-Unis,2836,Biological Products (Except Diagnostic),Biotechnology,2025,FY,14000,-47972000,-53621000,515729000,46006000,469723000,133526000,40699000,-47758000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001650648.json
1650648,"4D Molecular Therapeutics, Inc.",,"Californie, …tats-Unis",2836,Biological Products (Except Diagnostic),Biotechnology,2024,FY,37000,-160868000,-187841000,560384000,49778000,510606000,149336000,141299000,-134585000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001650648.json
1650648,"4D Molecular Therapeutics, Inc.",,"Californie, …tats-Unis",2836,Biological Products (Except Diagnostic),Biotechnology,2023,FY,20723000,-100837000,-112867000,339891000,32062000,307829000,249108000,97096000,-75792000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001650648.json
1650648,"4D Molecular Therapeutics, Inc.",,…tats-Unis,2836,Biological Products (Except Diagnostic),Biotechnology,2022,FY,3129000,-107494000,-110032000,261846000,30509000,231337000,52351000,80253000,-86685000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001650648.json
1650648,"4D Molecular Therapeutics, Inc.",,"Californie, …tats-Unis",2836,Biological Products (Except Diagnostic),Biotechnology,2021,FY,18038000,-71317000,-71333000,353487000,34380000,319107000,153001000,43832000,-69134000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001650648.json
1650648,"4D Molecular Therapeutics, Inc.",,…tats-Unis,2836,Biological Products (Except Diagnostic),Biotechnology,2020,FY,13612000,-56693000,-56664000,288331000,31944000,256387000,276726000,53038000,-50909000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001650648.json
1830162,4D pharma plc,,Ireland,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,718000,-31938000,-37261000,58794000,26378000,32416000,20973000,21632000,-37916000,13018000,6127000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001830162.json
1830162,4D pharma plc,,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,690000,-30495000,-35010000,49099000,10128000,38971000,11990000,23384000,-27270000,13489000,6303000,,100,Standard,91.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001830162.json
1946563,"60 DEGREES PHARMACEUTICALS, INC.",,Iowa,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,163552,-1876549,-1910875,5977867,1948978,4110235,3451500,407622,-1597366,,149785,,100,Recent,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001946563.json
1946563,"60 DEGREES PHARMACEUTICALS, INC.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,607574,-7947107,-9714931,5759345,1804339,4035600,1659353,4986526,-5648088,,157084,,100,Recent,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001946563.json
1946563,"60 DEGREES PHARMACEUTICALS, INC.",,Ireland,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,253573,-3765702,-5154583,7783771,2985675,4870134,2142485,691770,-4542910,,227258,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001946563.json
1551986,"9 Meters Biopharma, Inc.",,Ireland,5123,Wholesale Pharmaceuticals,Biotechnology,2023,FY,,-13868457,-12787491,9313037,15612242,-6299205,6938991,9799291,-9749676,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001551986.json
1551986,"9 Meters Biopharma, Inc.",,Irlande,5123,Wholesale Pharmaceuticals,Biotechnology,2022,FY,,-43766415,-42017051,33147844,30747301,2400543,12646282,31008151,-37243217,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001551986.json
1551986,"9 Meters Biopharma, Inc.",,Ireland,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,,-36779400,-36761919,50173525,8570212,41603313,46993285,21995291,-29478275,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001551986.json
1551986,"9 Meters Biopharma, Inc.",,Ireland,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,,-61496489,-60877758,39158513,7016400,32142113,12435982,2598985,-19409786,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001551986.json
1551986,"9 Meters Biopharma, Inc.",,Irlande,5123,Wholesale Pharmaceuticals,Biotechnology,2019,FY,,-27048808,25548561,5296816,9633279,-9614014,8863796,13715968,-17967992,,,,83.33333333,Standard,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001551986.json
1774857,"AARDVARK THERAPEUTICS, INC.",,"Delaware, …tats-Unis",2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2025,FY,,-9310000,-10470000,157025000,6336000,150689000,26504000,7755000,-11388000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001774857.json
1774857,"AARDVARK THERAPEUTICS, INC.",,Delaware,2839,Miscellaneous Biological and Medicinal Products,Biotechnology,2024,FY,,-2178000,-2171000,77507000,5394000,-54643000,61641000,1207000,-2190000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001774857.json
318306,ABEONA THERAPEUTICS INC.,,Delaware,8073,Clinical Research Organizations ‚ùóÔ∏èReview,Biotechnology,2025,FY,,-12029000,-19727000,99364000,57968000,41396000,15936000,9941000,-18402000,,,,83.33333333,Recent,66.66666667,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000318306.json
318306,ABEONA THERAPEUTICS INC.,,Massachusetts,8073,Clinical Research Organizations ‚ùóÔ∏èReview,Biotechnology,2024,FY,3500000,-63734000,-64211000,108931000,64900000,44031000,23357000,34360000,-56015000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000318306.json
318306,ABEONA THERAPEUTICS INC.,,Delaware,8073,Clinical Research Organizations ‚ùóÔ∏èReview,Biotechnology,2023,FY,3500000,-54188000,-47135000,64002000,49176000,14826000,14473000,31091000,-37009000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000318306.json
318306,ABEONA THERAPEUTICS INC.,,Delaware,8073,Clinical Research Organizations ‚ùóÔ∏èReview,Biotechnology,2022,FY,1414000,-39696000,-50915000,64214000,37453000,26761000,14217000,28965000,-43483000,32466000,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000318306.json
318306,ABEONA THERAPEUTICS INC.,,Delaware,8073,Clinical Research Organizations ‚ùóÔ∏èReview,Biotechnology,2021,FY,3000000,-84936000,-89836000,79586000,28211000,51375000,32938000,34325000,-65665000,32466000,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000318306.json
318306,ABEONA THERAPEUTICS INC.,,…tats-Unis,8073,Clinical Research Organizations ‚ùóÔ∏èReview,Biotechnology,2020,FY,10000000,-84234000,-81420000,151198000,48647000,102551000,12596000,30139000,-35019000,32466000,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000318306.json
318306,ABEONA THERAPEUTICS INC.,,Delaware,8073,Clinical Research Organizations ‚ùóÔ∏èReview,Biotechnology,2019,FY,0,-76282000,-77090000,223382000,44952000,178430000,129258000,48566000,-62820000,32466000,,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0000318306.json
1173313,"ABVC BioPharma, Inc.",,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,1205,-842075,-693005,14875699,6919404,5404386,152206,28861,-539833,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001173313.json
1173313,"ABVC BioPharma, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,509589,-4902878,-4705242,7539907,6815948,1226140,248382,179272,-1809145,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001173313.json
1173313,"ABVC BioPharma, Inc.",,"California, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,152430,-10515656,-8216509,14492599,6361627,8388050,60155,1062916,-4235845,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001173313.json
1173313,"ABVC BioPharma, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,969783,-16423239,-15114412,9855475,6619336,3098585,85265,2693457,-7398391,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001173313.json
1173313,"ABVC BioPharma, Inc.",,"California, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,355797,-12035851,-11705968,13698033,4827691,8843653,5828548,1003805,-7597719,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001173313.json
1173313,"ABVC BioPharma, Inc.",,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,483045,-10593584,-8505776,11606705,8944638,3438340,4273208,549658,-5540653,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001173313.json
1173313,"ABVC BioPharma, Inc.",,"Delaware, …tats-Unis",5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,701719,-3933240,-3458778,6927811,7052628,-150964,144295,1048553,-3134526,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001173313.json
1070494,ACADIA PHARMACEUTICALS INC.,,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2025,FY,244317000,18987000,19290000,1132364000,367127000,765237000,217696000,78265000,20323000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001070494.json
1070494,ACADIA PHARMACEUTICALS INC.,,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2024,FY,957797000,226451000,230794000,1187756000,454963000,732793000,319589000,303249000,157719000,,,,100,Recent,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001070494.json
1070494,ACADIA PHARMACEUTICALS INC.,,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2023,FY,726437000,-61286000,-73379000,748956000,317201000,431755000,188657000,351619000,16702000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001070494.json
1070494,ACADIA PHARMACEUTICALS INC.,,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2022,FY,517235000,-215975000,-223596000,587812000,187399000,400413000,114846000,361575000,-114035000,,,,100,Standard,75,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001070494.json
1070494,ACADIA PHARMACEUTICALS INC.,,Delaware,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2021,FY,484145000,-167870000,-170439000,700122000,159228000,540894000,147435000,239415000,-125660000,,0,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001070494.json
1070494,ACADIA PHARMACEUTICALS INC.,,…tats-Unis,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2020,FY,441755000,-281584000,-286586000,782616000,155607000,627009000,326028000,319130000,-136166000,,1108000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001070494.json
1070494,ACADIA PHARMACEUTICALS INC.,,Massachusetts,5123,Wholesale Pharmaceuticals,Pharmaceuticals,2019,FY,339076000,-235259000,-246545000,783183000,84048000,699135000,189680000,240385000,-151130000,,2585000,,100,Standard,83.33333333,C:\Users\zizot\Desktop\ODF\ABI\Plateform\MarketResearch\sec_edgar_data\CIK0001070494.json
